o,y,m,lx_kh,lx_th,cld_kh,cld_th,pt_kh,pt_th,dt_kh,dt_th,ln_th,ngay_lv,scc_dt,ds_dt,dvgt_dt,dvgt_b1053,dong_dt,son_cld,dt_lsc,bh_lsc,ds_lsc,dt_son,son_dt,gv_son,cvdv,scc_n,b_n,p_n,hs_cvdv_m,hs_scc_m,hs_b_m,hs_p_m,lx_nt,dt_nt,cld_nt,pt_nt,csi_n,csi_kg,csi_td,csi_cvdv,csi_tt,csi_clsc,csi_grx,csi_ov
HNB,2020,1,0,290,0,245.603,0,57.653,0,303.256,245.603,26,2,70.834,10.03,10.03,20.956,141.784,1012.046,295.651,162.739,141.784,141.784,6.044,1,4,1,4,1012,20.9,21,35.4,0,0,0,0,0,,,,,,,
HNB,2020,2,0,273,0,215.715,0,54.407,0,270.122,215.115,26,0.8,62.679,5.743,5.743,18.905,127.588,936.38,343.617,146.493,127.588,127.588,7.702,1,4,1,5,936.4,17.1,18.9,25.5,0,0,0,0,0,,,,,,,
HNB,2020,3,0,271,0,292.271,0,121.263,0,413.534,289.621,26,2.4,81.75,15.7,15.7,25.256,167.164,1626.053,299.857,192.421,167.164,167.164,7.873,1,4,1,5,1626.1,24.4,25.3,33.4,0,0,0,0,0,,,,,,,
HNB,2020,4,0,199,0,177.875,0,38.47,0,216.345,177.675,26,0.27,50.199,5.8,5.8,11.428,110.177,753.417,181.037,121.606,110.177,110.177,5.099,1,4,1,5,753.4,14,11.4,22,0,0,0,0,0,,,,,,,
HNB,2020,5,0,302,0,336.46,0,200.939,0,537.399,332.66,26,2.35,102.71,7.2,7.2,35.99,188.21,1551.817,522.082,224.2,188.21,188.21,8.349,1,4,1,5,1551.8,24.9,36,37.6,0,0,0,0,0,,,,,,,
HNB,2020,6,0,374,0,363.613,0,165.583,0,529.196,362.463,26,6.6,138.064,17.65,17.65,28.364,172.936,1855.296,418.612,201.3,172.936,172.936,9.214,1,4,1,5,1855.3,38.7,28.4,34.6,0,0,0,0,0,,,,,,,
HNB,2020,7,0,342,0,432.955,0,160.663,0,593.618,425.935,26,3.715,107.793,28.389,28.389,49.961,243.098,1593.422,567.272,293.058,243.098,243.098,10.686,1,4,1,5,1593.4,34,50,48.6,0,0,0,0,0,,,,,,,
HNB,2020,8,0,319,0,414.416,0,207.278,0,621.694,410.916,26,4.828,109.278,25.028,25.028,64.484,210.798,1578.893,430.702,275.282,210.798,210.798,8.052,1,4,1,5,1578.9,33.6,64.5,42.2,0,0,0,0,0,,,,,,,
HNB,2020,9,0,333,0,327.275,0,171.538,0,498.813,325.955,26,1.25,96.994,31.844,31.844,29.094,168.093,1351.13,277.056,197.187,168.093,168.093,9.604,1,4,2,5,1351.1,32.2,14.5,33.6,0,0,0,0,0,,,,,,,
HNB,2020,10,0,324,0,434.547,0,295.994,0,730.541,430.647,26,3.672,98.507,16.82,16.82,65.487,250.062,1633.227,754.002,315.549,250.062,250.062,12.775,1,4,2,5,1633.2,28.8,32.7,50,0,0,0,0,0,,,,,,,
